locus_tag	ftype	gene	EC_number	product
KADELANJ_00001	CDS			hypothetical protein
KADELANJ_00001	gene			
KADELANJ_00002	CDS	msrAB		Peptide methionine sulfoxide reductase msrA/msrB
KADELANJ_00002	gene	msrAB		
KADELANJ_00003	CDS	radA	3.6.4.-	DNA repair protein RadA
KADELANJ_00003	gene	radA		
KADELANJ_00004	CDS			hypothetical protein
KADELANJ_00004	gene			
KADELANJ_00005	CDS	iscU		Iron-sulfur cluster assembly scaffold protein IscU
KADELANJ_00005	gene	iscU		
KADELANJ_00006	CDS	iscS	2.8.1.7	Cysteine desulfurase IscS
KADELANJ_00006	gene	iscS		
KADELANJ_00007	CDS			hypothetical protein
KADELANJ_00007	gene			
KADELANJ_00008	CDS			hypothetical protein
KADELANJ_00008	gene			
KADELANJ_00009	CDS			hypothetical protein
KADELANJ_00009	gene			
KADELANJ_00010	CDS	dxr	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase
KADELANJ_00010	gene	dxr		
KADELANJ_00011	CDS	cdsA	2.7.7.41	Phosphatidate cytidylyltransferase
KADELANJ_00011	gene	cdsA		
KADELANJ_00012	CDS	sdcS		Sodium-dependent dicarboxylate transporter SdcS
KADELANJ_00012	gene	sdcS		
KADELANJ_00013	CDS	mnmG		tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
KADELANJ_00013	gene	mnmG		
KADELANJ_00014	CDS	dapE	3.5.1.18	Succinyl-diaminopimelate desuccinylase
KADELANJ_00014	gene	dapE		
KADELANJ_00015	CDS	hcpA	3.5.2.6	Beta-lactamase HcpA
KADELANJ_00015	gene	hcpA		
KADELANJ_00016	CDS	htpG		Chaperone protein HtpG
KADELANJ_00016	gene	htpG		
KADELANJ_00017	CDS			hypothetical protein
KADELANJ_00017	gene			
KADELANJ_00018	CDS			hypothetical protein
KADELANJ_00018	gene			
KADELANJ_00019	CDS	gspA		General stress protein A
KADELANJ_00019	gene	gspA		
KADELANJ_00020	CDS	apbC		Iron-sulfur cluster carrier protein
KADELANJ_00020	gene	apbC		
KADELANJ_00021	CDS			hypothetical protein
KADELANJ_00021	gene			
KADELANJ_00022	CDS			hypothetical protein
KADELANJ_00022	gene			
KADELANJ_00023	CDS			hypothetical protein
KADELANJ_00023	gene			
KADELANJ_00024	CDS			hypothetical protein
KADELANJ_00024	gene			
KADELANJ_00025	CDS			hypothetical protein
KADELANJ_00025	gene			
KADELANJ_00026	CDS	fabH	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3
KADELANJ_00026	gene	fabH		
KADELANJ_00027	CDS	plsX	2.3.1.-	Phosphate acyltransferase
KADELANJ_00027	gene	plsX		
KADELANJ_00028	CDS	rpmF		50S ribosomal protein L32
KADELANJ_00028	gene	rpmF		
KADELANJ_00029	CDS			hypothetical protein
KADELANJ_00029	gene			
KADELANJ_00030	CDS	ndk	2.7.4.6	Nucleoside diphosphate kinase
KADELANJ_00030	gene	ndk		
KADELANJ_00031	CDS	metK	2.5.1.6	S-adenosylmethionine synthase
KADELANJ_00031	gene	metK		
KADELANJ_00032	CDS	lpxD	2.3.1.-	UDP-3-O-acylglucosamine N-acyltransferase
KADELANJ_00032	gene	lpxD		
KADELANJ_00033	CDS	fabI	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
KADELANJ_00033	gene	fabI		
KADELANJ_00034	CDS	tpiA	5.3.1.1	Triosephosphate isomerase
KADELANJ_00034	gene	tpiA		
KADELANJ_00035	CDS	frdC		Fumarate reductase cytochrome b subunit
KADELANJ_00035	gene	frdC		
KADELANJ_00036	CDS	frdA	1.3.5.4	Fumarate reductase flavoprotein subunit
KADELANJ_00036	gene	frdA		
KADELANJ_00037	CDS	frdB	1.3.5.1	Fumarate reductase iron-sulfur subunit
KADELANJ_00037	gene	frdB		
KADELANJ_00038	CDS	clsC	2.7.8.-	Cardiolipin synthase C
KADELANJ_00038	gene	clsC		
KADELANJ_00039	CDS			hypothetical protein
KADELANJ_00039	gene			
KADELANJ_00040	CDS			hypothetical protein
KADELANJ_00040	gene			
KADELANJ_00041	CDS			hypothetical protein
KADELANJ_00041	gene			
KADELANJ_00042	CDS			hypothetical protein
KADELANJ_00042	gene			
KADELANJ_00043	CDS	zipA		Cell division protein ZipA
KADELANJ_00043	gene	zipA		
KADELANJ_00044	CDS			hypothetical protein
KADELANJ_00044	gene			
KADELANJ_00045	CDS	glyA	2.1.2.1	Serine hydroxymethyltransferase
KADELANJ_00045	gene	glyA		
KADELANJ_00046	CDS	lysS	6.1.1.6	Lysine--tRNA ligase
KADELANJ_00046	gene	lysS		
KADELANJ_00047	CDS			hypothetical protein
KADELANJ_00047	gene			
KADELANJ_00048	CDS	lnt	2.3.1.-	Apolipoprotein N-acyltransferase
KADELANJ_00048	gene	lnt		
KADELANJ_00049	CDS	lolD	3.6.3.-	Lipoprotein-releasing system ATP-binding protein LolD
KADELANJ_00049	gene	lolD		
KADELANJ_00050	CDS	pseI	2.5.1.97	Pseudaminic acid synthase
KADELANJ_00050	gene	pseI		
KADELANJ_00051	CDS	efp		Elongation factor P
KADELANJ_00051	gene	efp		
KADELANJ_00052	CDS	fba	4.1.2.13	Fructose-bisphosphate aldolase
KADELANJ_00052	gene	fba		
KADELANJ_00053	CDS		5.2.1.8	Putative peptidyl-prolyl cis-trans isomerase
KADELANJ_00053	gene			
KADELANJ_00054	CDS			hypothetical protein
KADELANJ_00054	gene			
KADELANJ_00055	CDS			hypothetical protein
KADELANJ_00055	gene			
KADELANJ_00056	CDS	moeA	2.10.1.1	Molybdopterin molybdenumtransferase
KADELANJ_00056	gene	moeA		
KADELANJ_00057	CDS	prfB		Peptide chain release factor RF2
KADELANJ_00057	gene	prfB		
KADELANJ_00058	CDS			hypothetical protein
KADELANJ_00058	gene			
KADELANJ_00059	CDS	ydcP	3.4.-.-	putative protease YdcP
KADELANJ_00059	gene	ydcP		
KADELANJ_00060	CDS			hypothetical protein
KADELANJ_00060	gene			
