locus_tag	ftype	gene	EC_number	product
IPCEDBCE_00001	CDS	queE_1	4.3.99.3	7-carboxy-7-deazaguanine synthase
IPCEDBCE_00001	gene	queE_1		
IPCEDBCE_00002	CDS	topA_1	5.99.1.2	DNA topoisomerase 1
IPCEDBCE_00002	gene	topA_1		
IPCEDBCE_00003	CDS	flaB		Flagellin B
IPCEDBCE_00003	gene	flaB		
IPCEDBCE_00004	CDS			hypothetical protein
IPCEDBCE_00004	gene			
IPCEDBCE_00005	CDS			hypothetical protein
IPCEDBCE_00005	gene			
IPCEDBCE_00006	CDS			hypothetical protein
IPCEDBCE_00006	gene			
IPCEDBCE_00007	CDS	hrcA		Heat-inducible transcription repressor HrcA
IPCEDBCE_00007	gene	hrcA		
IPCEDBCE_00008	CDS	grpE		Protein GrpE
IPCEDBCE_00008	gene	grpE		
IPCEDBCE_00009	CDS	dnaK		Chaperone protein DnaK
IPCEDBCE_00009	gene	dnaK		
IPCEDBCE_00010	CDS			hypothetical protein
IPCEDBCE_00010	gene			
IPCEDBCE_00011	CDS	cysM	2.5.1.47	Cysteine synthase
IPCEDBCE_00011	gene	cysM		
IPCEDBCE_00012	CDS	metB	2.5.1.48	Cystathionine gamma-synthase
IPCEDBCE_00012	gene	metB		
IPCEDBCE_00013	CDS	luxS	4.4.1.21	S-ribosylhomocysteine lyase
IPCEDBCE_00013	gene	luxS		
IPCEDBCE_00014	CDS	yfkN		Trifunctional nucleotide phosphoesterase protein YfkN
IPCEDBCE_00014	gene	yfkN		
IPCEDBCE_00015	CDS	mcp4		Methyl-accepting chemotaxis protein 4
IPCEDBCE_00015	gene	mcp4		
IPCEDBCE_00016	CDS		2.4.-.-	putative glycosyltransferase
IPCEDBCE_00016	gene			
IPCEDBCE_00017	CDS			hypothetical protein
IPCEDBCE_00017	gene			
IPCEDBCE_00018	CDS			hypothetical protein
IPCEDBCE_00018	gene			
IPCEDBCE_00019	CDS	pctC		Methyl-accepting chemotaxis protein PctC
IPCEDBCE_00019	gene	pctC		
IPCEDBCE_00020	CDS	thrC	4.2.3.1	Threonine synthase
IPCEDBCE_00020	gene	thrC		
IPCEDBCE_00021	CDS			hypothetical protein
IPCEDBCE_00021	gene			
IPCEDBCE_00022	CDS		1.-.-.-	Putative 2-hydroxyacid dehydrogenase
IPCEDBCE_00022	gene			
IPCEDBCE_00023	CDS			hypothetical protein
IPCEDBCE_00023	gene			
IPCEDBCE_00024	CDS			hypothetical protein
IPCEDBCE_00024	gene			
IPCEDBCE_00025	CDS	wbnK	2.4.1.308	O-antigen biosynthesis glycosyltransferase WbnK
IPCEDBCE_00025	gene	wbnK		
IPCEDBCE_00026	CDS	dpnA_1	2.1.1.72	Modification methylase DpnIIB
IPCEDBCE_00026	gene	dpnA_1		
IPCEDBCE_00027	CDS	mboIR	3.1.21.4	Type-2 restriction enzyme MboI
IPCEDBCE_00027	gene	mboIR		
IPCEDBCE_00028	tRNA			tRNA-Ser(gct)
IPCEDBCE_00028	gene			
IPCEDBCE_00029	CDS	fenF	2.3.1.39	Malonyl CoA-acyl carrier protein transacylase
IPCEDBCE_00029	gene	fenF		
IPCEDBCE_00030	CDS	mtnN	3.2.2.30	Aminodeoxyfutalosine nucleosidase
IPCEDBCE_00030	gene	mtnN		
IPCEDBCE_00031	CDS	rpoD		RNA polymerase sigma factor RpoD
IPCEDBCE_00031	gene	rpoD		
IPCEDBCE_00032	CDS			hypothetical protein
IPCEDBCE_00032	gene			
IPCEDBCE_00033	CDS	mqo	1.1.5.4	Malate:quinone oxidoreductase
IPCEDBCE_00033	gene	mqo		
IPCEDBCE_00034	CDS			hypothetical protein
IPCEDBCE_00034	gene			
IPCEDBCE_00035	CDS	rplM		50S ribosomal protein L13
IPCEDBCE_00035	gene	rplM		
IPCEDBCE_00036	CDS	rpsI		30S ribosomal protein S9
IPCEDBCE_00036	gene	rpsI		
IPCEDBCE_00037	CDS	pctB		Methyl-accepting chemotaxis protein PctB
IPCEDBCE_00037	gene	pctB		
IPCEDBCE_00038	CDS			hypothetical protein
IPCEDBCE_00038	gene			
IPCEDBCE_00039	CDS			hypothetical protein
IPCEDBCE_00039	gene			
IPCEDBCE_00040	CDS			hypothetical protein
IPCEDBCE_00040	gene			
IPCEDBCE_00041	CDS	prfA		Peptide chain release factor RF1
IPCEDBCE_00041	gene	prfA		
IPCEDBCE_00042	CDS	rpsT		30S ribosomal protein S20
IPCEDBCE_00042	gene	rpsT		
IPCEDBCE_00043	CDS	glmM	5.4.2.10	Phosphoglucosamine mutase
IPCEDBCE_00043	gene	glmM		
IPCEDBCE_00044	CDS	lspA	3.4.23.36	Lipoprotein signal peptidase
IPCEDBCE_00044	gene	lspA		
IPCEDBCE_00045	tRNA			tRNA-Val(gac)
IPCEDBCE_00045	gene			
IPCEDBCE_00046	CDS	ureA	3.5.1.5	Urease subunit alpha
IPCEDBCE_00046	gene	ureA		
IPCEDBCE_00047	CDS	ureB	3.5.1.5	Urease subunit beta
IPCEDBCE_00047	gene	ureB		
IPCEDBCE_00048	CDS	ureI		Acid-activated urea channel
IPCEDBCE_00048	gene	ureI		
IPCEDBCE_00049	CDS	ureE		Urease accessory protein UreE
IPCEDBCE_00049	gene	ureE		
IPCEDBCE_00050	CDS	ureF		Urease accessory protein UreF
IPCEDBCE_00050	gene	ureF		
IPCEDBCE_00051	CDS	ureG		Urease accessory protein UreG
IPCEDBCE_00051	gene	ureG		
IPCEDBCE_00052	CDS	ureH		Urease accessory protein UreH
IPCEDBCE_00052	gene	ureH		
IPCEDBCE_00053	CDS	ftsK		DNA translocase FtsK
IPCEDBCE_00053	gene	ftsK		
IPCEDBCE_00054	CDS			hypothetical protein
IPCEDBCE_00054	gene			
IPCEDBCE_00055	CDS			hypothetical protein
IPCEDBCE_00055	gene			
IPCEDBCE_00056	CDS			hypothetical protein
IPCEDBCE_00056	gene			
IPCEDBCE_00057	CDS			hypothetical protein
IPCEDBCE_00057	gene			
IPCEDBCE_00058	CDS			hypothetical protein
IPCEDBCE_00058	gene			
IPCEDBCE_00059	CDS			hypothetical protein
IPCEDBCE_00059	gene			
IPCEDBCE_00060	CDS	smc_1		Chromosome partition protein Smc
IPCEDBCE_00060	gene	smc_1		
IPCEDBCE_00061	CDS	smc_2		Chromosome partition protein Smc
IPCEDBCE_00061	gene	smc_2		
IPCEDBCE_00062	CDS			hypothetical protein
IPCEDBCE_00062	gene			
IPCEDBCE_00063	CDS	rocA1	1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase 1
IPCEDBCE_00063	gene	rocA1		
IPCEDBCE_00064	CDS	putP		High-affinity proline transporter PutP
IPCEDBCE_00064	gene	putP		
IPCEDBCE_00065	CDS	haeIIIM	2.1.1.37	Modification methylase HaeIII
IPCEDBCE_00065	gene	haeIIIM		
IPCEDBCE_00066	CDS			hypothetical protein
IPCEDBCE_00066	gene			
IPCEDBCE_00067	CDS			hypothetical protein
IPCEDBCE_00067	gene			
IPCEDBCE_00068	CDS			hypothetical protein
IPCEDBCE_00068	gene			
IPCEDBCE_00069	CDS	bspRIM	2.1.1.37	Modification methylase BspRI
IPCEDBCE_00069	gene	bspRIM		
IPCEDBCE_00070	CDS	dpnA_2	2.1.1.72	Modification methylase DpnIIB
IPCEDBCE_00070	gene	dpnA_2		
IPCEDBCE_00071	CDS	aguA	3.5.3.12	Agmatine deiminase
IPCEDBCE_00071	gene	aguA		
IPCEDBCE_00072	CDS	hypF	2.1.3.-	Carbamoyltransferase HypF
IPCEDBCE_00072	gene	hypF		
IPCEDBCE_00073	CDS	hypE		Hydrogenase isoenzymes formation protein HypE
IPCEDBCE_00073	gene	hypE		
IPCEDBCE_00074	CDS	colC	1.1.1.356	GDP-L-colitose synthase
IPCEDBCE_00074	gene	colC		
IPCEDBCE_00075	CDS	gmd	4.2.1.47	GDP-mannose 4,6-dehydratase
IPCEDBCE_00075	gene	gmd		
IPCEDBCE_00076	CDS	algA		Alginate biosynthesis protein AlgA
IPCEDBCE_00076	gene	algA		
IPCEDBCE_00077	CDS	ptlG		Type IV secretion system protein PtlG
IPCEDBCE_00077	gene	ptlG		
IPCEDBCE_00078	CDS			hypothetical protein
IPCEDBCE_00078	gene			
IPCEDBCE_00079	CDS			hypothetical protein
IPCEDBCE_00079	gene			
IPCEDBCE_00080	CDS			hypothetical protein
IPCEDBCE_00080	gene			
IPCEDBCE_00081	CDS			hypothetical protein
IPCEDBCE_00081	gene			
IPCEDBCE_00082	CDS			hypothetical protein
IPCEDBCE_00082	gene			
IPCEDBCE_00083	CDS			Nucleoid-associated protein
IPCEDBCE_00083	gene			
IPCEDBCE_00084	CDS	panD	4.1.1.11	Aspartate 1-decarboxylase
IPCEDBCE_00084	gene	panD		
IPCEDBCE_00085	CDS	clpA		ATP-dependent Clp protease ATP-binding subunit ClpA
IPCEDBCE_00085	gene	clpA		
IPCEDBCE_00086	CDS	clpS		ATP-dependent Clp protease adapter protein ClpS
IPCEDBCE_00086	gene	clpS		
IPCEDBCE_00087	CDS			hypothetical protein
IPCEDBCE_00087	gene			
IPCEDBCE_00088	CDS			hypothetical protein
IPCEDBCE_00088	gene			
IPCEDBCE_00089	CDS	bioD	6.3.3.3	ATP-dependent dethiobiotin synthetase BioD
IPCEDBCE_00089	gene	bioD		
IPCEDBCE_00090	CDS			hypothetical protein
IPCEDBCE_00090	gene			
IPCEDBCE_00091	CDS	icd	1.1.1.42	Isocitrate dehydrogenase [NADP]
IPCEDBCE_00091	gene	icd		
IPCEDBCE_00092	CDS	aarA	2.3.3.16	Citrate synthase
IPCEDBCE_00092	gene	aarA		
IPCEDBCE_00093	CDS			hypothetical protein
IPCEDBCE_00093	gene			
IPCEDBCE_00094	CDS	eptA	2.7.-.-	Phosphoethanolamine transferase EptA
IPCEDBCE_00094	gene	eptA		
IPCEDBCE_00095	CDS	lpxE_1	3.1.-.-	Lipid A 1-phosphatase
IPCEDBCE_00095	gene	lpxE_1		
IPCEDBCE_00096	CDS	nspC	4.1.1.96	Carboxynorspermidine/carboxyspermidine decarboxylase
IPCEDBCE_00096	gene	nspC		
IPCEDBCE_00097	CDS	cheV_1		Chemotaxis protein CheV
IPCEDBCE_00097	gene	cheV_1		
IPCEDBCE_00098	CDS			hypothetical protein
IPCEDBCE_00098	gene			
IPCEDBCE_00099	CDS	virB4_1		Type IV secretion system protein virB4
IPCEDBCE_00099	gene	virB4_1		
IPCEDBCE_00100	CDS			hypothetical protein
