locus_tag	ftype	gene	EC_number	product
PHDCEHKO_00001	tRNA			tRNA-Arg(tct)
PHDCEHKO_00001	gene			
PHDCEHKO_00002	tRNA			tRNA-Arg(tcg)
PHDCEHKO_00002	gene			
PHDCEHKO_00003	tRNA			tRNA-His(gtg)
PHDCEHKO_00003	gene			
PHDCEHKO_00004	tRNA			tRNA-Pro(tgg)
PHDCEHKO_00004	gene			
PHDCEHKO_00005	CDS			hypothetical protein
PHDCEHKO_00005	gene			
PHDCEHKO_00006	CDS			hypothetical protein
PHDCEHKO_00006	gene			
PHDCEHKO_00007	CDS	guaA	6.3.5.2	GMP synthase [glutamine-hydrolyzing]
PHDCEHKO_00007	gene	guaA		
PHDCEHKO_00008	CDS			hypothetical protein
PHDCEHKO_00008	gene			
PHDCEHKO_00009	CDS	dorA	1.7.2.3	Dimethyl sulfoxide/trimethylamine N-oxide reductase
PHDCEHKO_00009	gene	dorA		
PHDCEHKO_00010	CDS			hypothetical protein
PHDCEHKO_00010	gene			
PHDCEHKO_00011	CDS	csd	2.8.1.7	putative cysteine desulfurase
PHDCEHKO_00011	gene	csd		
PHDCEHKO_00012	CDS			putative HIT-like protein
PHDCEHKO_00012	gene			
PHDCEHKO_00013	CDS	pheS	6.1.1.20	Phenylalanine--tRNA ligase alpha subunit
PHDCEHKO_00013	gene	pheS		
PHDCEHKO_00014	CDS	pheT	6.1.1.20	Phenylalanine--tRNA ligase beta subunit
PHDCEHKO_00014	gene	pheT		
PHDCEHKO_00015	CDS	aroA1	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase 1
PHDCEHKO_00015	gene	aroA1		
PHDCEHKO_00016	CDS	ispH	1.17.7.4	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PHDCEHKO_00016	gene	ispH		
PHDCEHKO_00017	CDS	rpsA		30S ribosomal protein S1
PHDCEHKO_00017	gene	rpsA		
PHDCEHKO_00018	CDS			hypothetical protein
PHDCEHKO_00018	gene			
PHDCEHKO_00019	CDS	serA	1.1.1.95	D-3-phosphoglycerate dehydrogenase
PHDCEHKO_00019	gene	serA		
PHDCEHKO_00020	CDS	ubiD	4.1.1.98	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PHDCEHKO_00020	gene	ubiD		
PHDCEHKO_00021	CDS			hypothetical protein
