locus_tag	ftype	gene	EC_number	product
FHFNEIGL_00001	CDS			hypothetical protein
FHFNEIGL_00001	gene			
FHFNEIGL_00002	CDS	dusC	1.3.1.-	tRNA-dihydrouridine(16) synthase
FHFNEIGL_00002	gene	dusC		
FHFNEIGL_00003	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthase
FHFNEIGL_00003	gene	tilS		
FHFNEIGL_00004	CDS			hypothetical protein
FHFNEIGL_00004	gene			
FHFNEIGL_00005	CDS			hypothetical protein
FHFNEIGL_00005	gene			
FHFNEIGL_00006	CDS			hypothetical protein
FHFNEIGL_00006	gene			
FHFNEIGL_00007	CDS			hypothetical protein
FHFNEIGL_00007	gene			
FHFNEIGL_00008	CDS	rimO	2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO
FHFNEIGL_00008	gene	rimO		
FHFNEIGL_00009	CDS	gpt	2.4.2.22	Xanthine phosphoribosyltransferase
FHFNEIGL_00009	gene	gpt		
FHFNEIGL_00010	CDS		2.6.1.51	Serine-pyruvate aminotransferase
FHFNEIGL_00010	gene			
FHFNEIGL_00011	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
FHFNEIGL_00011	gene	pgpA		
FHFNEIGL_00012	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
FHFNEIGL_00012	gene	ddl		
FHFNEIGL_00013	CDS	menH	4.2.99.20	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FHFNEIGL_00013	gene	menH		
FHFNEIGL_00014	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
FHFNEIGL_00014	gene	murF		
FHFNEIGL_00015	CDS		2.7.7.53	AP-4-A phosphorylase
FHFNEIGL_00015	gene			
FHFNEIGL_00016	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
FHFNEIGL_00016	gene	prs		
FHFNEIGL_00017	tRNA			tRNA-Met(cat)
FHFNEIGL_00017	gene			
FHFNEIGL_00018	CDS			hypothetical protein
FHFNEIGL_00018	gene			
FHFNEIGL_00019	CDS	rsgA_1	3.6.1.-	Putative ribosome biogenesis GTPase RsgA
FHFNEIGL_00019	gene	rsgA_1		
FHFNEIGL_00020	CDS		5.4.99.-	putative RNA pseudouridine synthase
FHFNEIGL_00020	gene			
FHFNEIGL_00021	CDS			hypothetical protein
FHFNEIGL_00021	gene			
FHFNEIGL_00022	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
FHFNEIGL_00022	gene	trmB		
FHFNEIGL_00023	CDS	ftsE		Cell division ATP-binding protein FtsE
FHFNEIGL_00023	gene	ftsE		
FHFNEIGL_00024	CDS			hypothetical protein
FHFNEIGL_00024	gene			
FHFNEIGL_00025	CDS			hypothetical protein
FHFNEIGL_00025	gene			
FHFNEIGL_00026	CDS			hypothetical protein
FHFNEIGL_00026	gene			
FHFNEIGL_00027	CDS			hypothetical protein
FHFNEIGL_00027	gene			
FHFNEIGL_00028	CDS	fliD		Flagellar hook-associated protein 2
FHFNEIGL_00028	gene	fliD		
FHFNEIGL_00029	CDS	fliS		Flagellar protein FliS
FHFNEIGL_00029	gene	fliS		
FHFNEIGL_00030	CDS			hypothetical protein
FHFNEIGL_00030	gene			
FHFNEIGL_00031	CDS	tcdA	6.1.-.-	tRNA threonylcarbamoyladenosine dehydratase
FHFNEIGL_00031	gene	tcdA		
FHFNEIGL_00032	CDS			hypothetical protein
FHFNEIGL_00032	gene			
FHFNEIGL_00033	CDS		3.5.1.77	N-carbamoyl-D-amino acid hydrolase
