locus_tag	ftype	gene	EC_number	product
IENJPBOG_00001	CDS	ccsA		Cytochrome c biogenesis protein CcsA
IENJPBOG_00001	gene	ccsA		
IENJPBOG_00002	CDS			hypothetical protein
IENJPBOG_00002	gene			
IENJPBOG_00003	CDS	hemH	4.99.1.1	Ferrochelatase
IENJPBOG_00003	gene	hemH		
IENJPBOG_00004	CDS			hypothetical protein
IENJPBOG_00004	gene			
IENJPBOG_00005	CDS	rsmE	2.1.1.193	Ribosomal RNA small subunit methyltransferase E
IENJPBOG_00005	gene	rsmE		
IENJPBOG_00006	CDS			hypothetical protein
IENJPBOG_00006	gene			
IENJPBOG_00007	CDS	dcd	3.5.4.13	dCTP deaminase
IENJPBOG_00007	gene	dcd		
IENJPBOG_00008	CDS	accB		Biotin carboxyl carrier protein of acetyl-CoA carboxylase
IENJPBOG_00008	gene	accB		
IENJPBOG_00009	CDS	accC	6.3.4.14	Biotin carboxylase
IENJPBOG_00009	gene	accC		
IENJPBOG_00010	CDS			hypothetical protein
IENJPBOG_00010	gene			
IENJPBOG_00011	CDS			hypothetical protein
IENJPBOG_00011	gene			
IENJPBOG_00012	CDS			hypothetical protein
IENJPBOG_00012	gene			
IENJPBOG_00013	CDS			hypothetical protein
IENJPBOG_00013	gene			
IENJPBOG_00014	CDS	pseC	2.6.1.92	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
IENJPBOG_00014	gene	pseC		
IENJPBOG_00015	tRNA			tRNA-Leu(tag)
IENJPBOG_00015	gene			
IENJPBOG_00016	CDS	nrdB	1.17.4.1	Ribonucleoside-diphosphate reductase subunit beta
IENJPBOG_00016	gene	nrdB		
IENJPBOG_00017	CDS	pcm	2.1.1.77	Protein-L-isoaspartate O-methyltransferase
IENJPBOG_00017	gene	pcm		
IENJPBOG_00018	CDS			hypothetical protein
IENJPBOG_00018	gene			
IENJPBOG_00019	CDS	truA	5.4.99.12	tRNA pseudouridine synthase A
IENJPBOG_00019	gene	truA		
IENJPBOG_00020	CDS	galE	5.1.3.2	UDP-glucose 4-epimerase
IENJPBOG_00020	gene	galE		
IENJPBOG_00021	tRNA			tRNA-Ile(gat)
IENJPBOG_00021	gene			
IENJPBOG_00022	tRNA			tRNA-Ala(tgc)
IENJPBOG_00022	gene			
IENJPBOG_00023	CDS			hypothetical protein
IENJPBOG_00023	gene			
IENJPBOG_00024	CDS	ydfG	1.1.1.381	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
IENJPBOG_00024	gene	ydfG		
IENJPBOG_00025	CDS			hypothetical protein
IENJPBOG_00025	gene			
IENJPBOG_00026	CDS	lepA	3.6.5.-	Elongation factor 4
IENJPBOG_00026	gene	lepA		
IENJPBOG_00027	CDS	dxs	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
IENJPBOG_00027	gene	dxs		
IENJPBOG_00028	CDS			hypothetical protein
IENJPBOG_00028	gene			
IENJPBOG_00029	CDS	fliG		Flagellar motor switch protein FliG
IENJPBOG_00029	gene	fliG		
IENJPBOG_00030	CDS	fliF		Flagellar M-ring protein
IENJPBOG_00030	gene	fliF		
IENJPBOG_00031	CDS			hypothetical protein
IENJPBOG_00031	gene			
IENJPBOG_00032	CDS	pyrG	6.3.4.2	CTP synthase
IENJPBOG_00032	gene	pyrG		
IENJPBOG_00033	CDS	recJ	3.1.-.-	Single-stranded-DNA-specific exonuclease RecJ
IENJPBOG_00033	gene	recJ		
IENJPBOG_00034	CDS		5.4.99.-	putative RNA pseudouridine synthase
IENJPBOG_00034	gene			
IENJPBOG_00035	CDS			hypothetical protein
IENJPBOG_00035	gene			
IENJPBOG_00036	CDS	divIB		Cell division protein DivIB
IENJPBOG_00036	gene	divIB		
IENJPBOG_00037	CDS			hypothetical protein
IENJPBOG_00037	gene			
IENJPBOG_00038	CDS			hypothetical protein
IENJPBOG_00038	gene			
IENJPBOG_00039	CDS			hypothetical protein
IENJPBOG_00039	gene			
IENJPBOG_00040	CDS			hypothetical protein
IENJPBOG_00040	gene			
IENJPBOG_00041	CDS			hypothetical protein
IENJPBOG_00041	gene			
IENJPBOG_00042	CDS			hypothetical protein
IENJPBOG_00042	gene			
IENJPBOG_00043	CDS			hypothetical protein
IENJPBOG_00043	gene			
IENJPBOG_00044	CDS	hcpB_1	3.5.2.6	Beta-lactamase HcpB
IENJPBOG_00044	gene	hcpB_1		
IENJPBOG_00045	CDS			hypothetical protein
IENJPBOG_00045	gene			
IENJPBOG_00046	CDS	yqgF	3.1.-.-	Putative pre-16S rRNA nuclease
IENJPBOG_00046	gene	yqgF		
IENJPBOG_00047	CDS	dprA		DNA processing protein DprA
IENJPBOG_00047	gene	dprA		
IENJPBOG_00048	CDS	minE		Cell division topological specificity factor
IENJPBOG_00048	gene	minE		
IENJPBOG_00049	CDS	minD		Septum site-determining protein MinD
IENJPBOG_00049	gene	minD		
IENJPBOG_00050	CDS	ilvC	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
IENJPBOG_00050	gene	ilvC		
IENJPBOG_00051	tRNA			tRNA-Arg(gcg)
IENJPBOG_00051	gene			
IENJPBOG_00052	CDS	nadE	6.3.1.5	NH(3)-dependent NAD(+) synthetase
IENJPBOG_00052	gene	nadE		
IENJPBOG_00053	CDS	lpxK	2.7.1.130	Tetraacyldisaccharide 4'-kinase
IENJPBOG_00053	gene	lpxK		
IENJPBOG_00054	CDS	pseH	2.3.1.202	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
IENJPBOG_00054	gene	pseH		
IENJPBOG_00055	CDS			hypothetical protein
IENJPBOG_00055	gene			
IENJPBOG_00056	CDS	neuA	2.7.7.43	N-acylneuraminate cytidylyltransferase
IENJPBOG_00056	gene	neuA		
IENJPBOG_00057	CDS	flgH		Flagellar L-ring protein
IENJPBOG_00057	gene	flgH		
IENJPBOG_00058	CDS			hypothetical protein
IENJPBOG_00058	gene			
IENJPBOG_00059	CDS	ywiE	2.7.8.-	putative cardiolipin synthase YwiE
IENJPBOG_00059	gene	ywiE		
IENJPBOG_00060	CDS			hypothetical protein
IENJPBOG_00060	gene			
IENJPBOG_00061	CDS	gmk	2.7.4.8	Guanylate kinase
IENJPBOG_00061	gene	gmk		
IENJPBOG_00062	CDS	tatA		Sec-independent protein translocase protein TatA
IENJPBOG_00062	gene	tatA		
IENJPBOG_00063	CDS	argS	6.1.1.19	Arginine--tRNA ligase
IENJPBOG_00063	gene	argS		
IENJPBOG_00064	CDS			hypothetical protein
IENJPBOG_00064	gene			
IENJPBOG_00065	CDS			hypothetical protein
IENJPBOG_00065	gene			
IENJPBOG_00066	CDS			hypothetical protein
IENJPBOG_00066	gene			
IENJPBOG_00067	CDS	hsdR_1	3.1.21.3	Type I restriction enzyme EcoR124II R protein
IENJPBOG_00067	gene	hsdR_1		
IENJPBOG_00068	CDS	thiM	2.7.1.50	Hydroxyethylthiazole kinase
IENJPBOG_00068	gene	thiM		
IENJPBOG_00069	CDS	thiD	2.7.1.49	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IENJPBOG_00069	gene	thiD		
IENJPBOG_00070	CDS	thiE	2.5.1.3	Thiamine-phosphate synthase
IENJPBOG_00070	gene	thiE		
IENJPBOG_00071	CDS			hypothetical protein
IENJPBOG_00071	gene			
IENJPBOG_00072	CDS	coaBC		Coenzyme A biosynthesis bifunctional protein CoaBC
IENJPBOG_00072	gene	coaBC		
IENJPBOG_00073	CDS	pseB	4.2.1.115	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
IENJPBOG_00073	gene	pseB		
IENJPBOG_00074	CDS			hypothetical protein
IENJPBOG_00074	gene			
IENJPBOG_00075	CDS			hypothetical protein
IENJPBOG_00075	gene			
IENJPBOG_00076	CDS			hypothetical protein
IENJPBOG_00076	gene			
IENJPBOG_00077	tRNA			tRNA-Arg(cct)
IENJPBOG_00077	gene			
IENJPBOG_00078	CDS	hup		DNA-binding protein HU
IENJPBOG_00078	gene	hup		
IENJPBOG_00079	CDS	der_1		GTPase Der
IENJPBOG_00079	gene	der_1		
IENJPBOG_00080	CDS			hypothetical protein
IENJPBOG_00080	gene			
IENJPBOG_00081	CDS	speE	2.5.1.16	Polyamine aminopropyltransferase
IENJPBOG_00081	gene	speE		
IENJPBOG_00082	CDS	coaE	2.7.1.24	Dephospho-CoA kinase
IENJPBOG_00082	gene	coaE		
IENJPBOG_00083	CDS	gatA	6.3.5.7	Glutamyl-tRNA(Gln) amidotransferase subunit A
IENJPBOG_00083	gene	gatA		
IENJPBOG_00084	CDS	guaB	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
IENJPBOG_00084	gene	guaB		
IENJPBOG_00085	CDS	atpB		ATP synthase subunit a
IENJPBOG_00085	gene	atpB		
IENJPBOG_00086	CDS			hypothetical protein
IENJPBOG_00086	gene			
IENJPBOG_00087	CDS	lex1	2.-.-.-	Lipooligosaccharide biosynthesis protein lex-1
IENJPBOG_00087	gene	lex1		
IENJPBOG_00088	CDS	trxB	1.8.1.9	Thioredoxin reductase
IENJPBOG_00088	gene	trxB		
IENJPBOG_00089	CDS	trxA_1		Thioredoxin
IENJPBOG_00089	gene	trxA_1		
IENJPBOG_00090	CDS			hypothetical protein
IENJPBOG_00090	gene			
IENJPBOG_00091	CDS	hom	1.1.1.3	Homoserine dehydrogenase
IENJPBOG_00091	gene	hom		
