locus_tag	ftype	gene	EC_number	product
BJDFHBJJ_00001	CDS			hypothetical protein
BJDFHBJJ_00001	gene			
BJDFHBJJ_00002	CDS	dusC	1.3.1.-	tRNA-dihydrouridine(16) synthase
BJDFHBJJ_00002	gene	dusC		
BJDFHBJJ_00003	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthase
BJDFHBJJ_00003	gene	tilS		
BJDFHBJJ_00004	CDS			hypothetical protein
BJDFHBJJ_00004	gene			
BJDFHBJJ_00005	CDS			hypothetical protein
BJDFHBJJ_00005	gene			
BJDFHBJJ_00006	CDS			hypothetical protein
BJDFHBJJ_00006	gene			
BJDFHBJJ_00007	CDS			hypothetical protein
BJDFHBJJ_00007	gene			
BJDFHBJJ_00008	CDS	rimO	2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO
BJDFHBJJ_00008	gene	rimO		
BJDFHBJJ_00009	CDS	gpt	2.4.2.22	Xanthine phosphoribosyltransferase
BJDFHBJJ_00009	gene	gpt		
BJDFHBJJ_00010	CDS		2.6.1.51	Serine-pyruvate aminotransferase
BJDFHBJJ_00010	gene			
BJDFHBJJ_00011	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
BJDFHBJJ_00011	gene	pgpA		
BJDFHBJJ_00012	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
BJDFHBJJ_00012	gene	ddl		
BJDFHBJJ_00013	CDS			hypothetical protein
BJDFHBJJ_00013	gene			
BJDFHBJJ_00014	CDS			hypothetical protein
BJDFHBJJ_00014	gene			
BJDFHBJJ_00015	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BJDFHBJJ_00015	gene	murF		
BJDFHBJJ_00016	CDS		2.7.7.53	AP-4-A phosphorylase
BJDFHBJJ_00016	gene			
BJDFHBJJ_00017	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
BJDFHBJJ_00017	gene	prs		
BJDFHBJJ_00018	tRNA			tRNA-Met(cat)
BJDFHBJJ_00018	gene			
BJDFHBJJ_00019	CDS			hypothetical protein
BJDFHBJJ_00019	gene			
BJDFHBJJ_00020	CDS	rsgA	3.6.1.-	Putative ribosome biogenesis GTPase RsgA
BJDFHBJJ_00020	gene	rsgA		
BJDFHBJJ_00021	CDS	rluD	5.4.99.23	Ribosomal large subunit pseudouridine synthase D
BJDFHBJJ_00021	gene	rluD		
BJDFHBJJ_00022	CDS			hypothetical protein
BJDFHBJJ_00022	gene			
BJDFHBJJ_00023	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
BJDFHBJJ_00023	gene	trmB		
BJDFHBJJ_00024	CDS	ftsE		Cell division ATP-binding protein FtsE
BJDFHBJJ_00024	gene	ftsE		
BJDFHBJJ_00025	CDS			hypothetical protein
BJDFHBJJ_00025	gene			
BJDFHBJJ_00026	CDS			hypothetical protein
BJDFHBJJ_00026	gene			
BJDFHBJJ_00027	CDS			hypothetical protein
BJDFHBJJ_00027	gene			
BJDFHBJJ_00028	CDS	fliD		Flagellar hook-associated protein 2
BJDFHBJJ_00028	gene	fliD		
BJDFHBJJ_00029	CDS	fliS		Flagellar protein FliS
BJDFHBJJ_00029	gene	fliS		
BJDFHBJJ_00030	CDS			hypothetical protein
BJDFHBJJ_00030	gene			
BJDFHBJJ_00031	CDS	tcdA	6.1.-.-	tRNA threonylcarbamoyladenosine dehydratase
BJDFHBJJ_00031	gene	tcdA		
BJDFHBJJ_00032	CDS			hypothetical protein
BJDFHBJJ_00032	gene			
BJDFHBJJ_00033	CDS		3.5.1.77	N-carbamoyl-D-amino acid hydrolase
BJDFHBJJ_00033	gene			
BJDFHBJJ_00034	CDS			hypothetical protein
BJDFHBJJ_00034	gene			
BJDFHBJJ_00035	CDS	yeeO		putative FMN/FAD exporter YeeO
BJDFHBJJ_00035	gene	yeeO		
BJDFHBJJ_00036	CDS	rny	3.1.-.-	Ribonuclease Y
BJDFHBJJ_00036	gene	rny		
BJDFHBJJ_00037	CDS			hypothetical protein
BJDFHBJJ_00037	gene			
BJDFHBJJ_00038	CDS			hypothetical protein
BJDFHBJJ_00038	gene			
BJDFHBJJ_00039	CDS			hypothetical protein
BJDFHBJJ_00039	gene			
BJDFHBJJ_00040	CDS	ftsY		Signal recognition particle receptor FtsY
BJDFHBJJ_00040	gene	ftsY		
BJDFHBJJ_00041	CDS			hypothetical protein
BJDFHBJJ_00041	gene			
BJDFHBJJ_00042	CDS			hypothetical protein
BJDFHBJJ_00042	gene			
BJDFHBJJ_00043	CDS			hypothetical protein
BJDFHBJJ_00043	gene			
BJDFHBJJ_00044	CDS			hypothetical protein
BJDFHBJJ_00044	gene			
BJDFHBJJ_00045	CDS			hypothetical protein
BJDFHBJJ_00045	gene			
BJDFHBJJ_00046	CDS	moaA	4.1.99.22	GTP 3',8-cyclase
BJDFHBJJ_00046	gene	moaA		
BJDFHBJJ_00047	CDS	mobA	2.7.7.77	putative molybdenum cofactor guanylyltransferase
BJDFHBJJ_00047	gene	mobA		
BJDFHBJJ_00048	CDS	flhB_1		Flagellar biosynthetic protein FlhB
BJDFHBJJ_00048	gene	flhB_1		
BJDFHBJJ_00049	CDS			hypothetical protein
BJDFHBJJ_00049	gene			
BJDFHBJJ_00050	CDS	amiC	3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiC
BJDFHBJJ_00050	gene	amiC		
BJDFHBJJ_00051	CDS	pyrD_1	1.3.-.-	Dihydroorotate dehydrogenase
BJDFHBJJ_00051	gene	pyrD_1		
BJDFHBJJ_00052	CDS	tyrS	6.1.1.1	Tyrosine--tRNA ligase
BJDFHBJJ_00052	gene	tyrS		
BJDFHBJJ_00053	CDS	relA	2.7.6.5	GTP pyrophosphokinase
BJDFHBJJ_00053	gene	relA		
BJDFHBJJ_00054	CDS	rpoZ	2.7.7.6	DNA-directed RNA polymerase subunit omega
BJDFHBJJ_00054	gene	rpoZ		
BJDFHBJJ_00055	CDS	pyrH	2.7.4.22	Uridylate kinase
BJDFHBJJ_00055	gene	pyrH		
BJDFHBJJ_00056	CDS	mqnA	4.2.1.151	Chorismate dehydratase
BJDFHBJJ_00056	gene	mqnA		
BJDFHBJJ_00057	CDS	acnB	4.2.1.3	Aconitate hydratase B
BJDFHBJJ_00057	gene	acnB		
BJDFHBJJ_00058	CDS			hypothetical protein
BJDFHBJJ_00058	gene			
BJDFHBJJ_00059	CDS			hypothetical protein
BJDFHBJJ_00059	gene			
BJDFHBJJ_00060	CDS			hypothetical protein
BJDFHBJJ_00060	gene			
BJDFHBJJ_00061	CDS			hypothetical protein
BJDFHBJJ_00061	gene			
BJDFHBJJ_00062	tmRNA	ssrA		transfer-messenger RNA, SsrA
BJDFHBJJ_00062	gene	ssrA		
BJDFHBJJ_00063	CDS	lolA		Outer-membrane lipoprotein carrier protein
BJDFHBJJ_00063	gene	lolA		
BJDFHBJJ_00064	CDS	secA		Protein translocase subunit SecA
