locus_tag	ftype	gene	EC_number	product
BPLIIOBE_00001	CDS			hypothetical protein
BPLIIOBE_00001	gene			
BPLIIOBE_00002	CDS			hypothetical protein
BPLIIOBE_00002	gene			
BPLIIOBE_00003	CDS	petB		Cytochrome b
BPLIIOBE_00003	gene	petB		
BPLIIOBE_00004	CDS	petA	1.10.2.2	Ubiquinol-cytochrome c reductase iron-sulfur subunit
BPLIIOBE_00004	gene	petA		
BPLIIOBE_00005	CDS	mfd	3.6.4.-	Transcription-repair-coupling factor
BPLIIOBE_00005	gene	mfd		
BPLIIOBE_00006	CDS			hypothetical protein
BPLIIOBE_00006	gene			
BPLIIOBE_00007	CDS	mepM_1	3.4.24.-	Murein DD-endopeptidase MepM
BPLIIOBE_00007	gene	mepM_1		
BPLIIOBE_00008	CDS	mepM_2	3.4.24.-	Murein DD-endopeptidase MepM
BPLIIOBE_00008	gene	mepM_2		
BPLIIOBE_00009	CDS	folC	6.3.2.12	Dihydrofolate synthase/folylpolyglutamate synthase
BPLIIOBE_00009	gene	folC		
BPLIIOBE_00010	CDS			hypothetical protein
BPLIIOBE_00010	gene			
BPLIIOBE_00011	CDS	leuS	6.1.1.4	Leucine--tRNA ligase
BPLIIOBE_00011	gene	leuS		
BPLIIOBE_00012	CDS			hypothetical protein
BPLIIOBE_00012	gene			
BPLIIOBE_00013	CDS			hypothetical protein
BPLIIOBE_00013	gene			
BPLIIOBE_00014	CDS			hypothetical protein
BPLIIOBE_00014	gene			
BPLIIOBE_00015	CDS			hypothetical protein
BPLIIOBE_00015	gene			
BPLIIOBE_00016	CDS	nhaA		Na(+)/H(+) antiporter NhaA
BPLIIOBE_00016	gene	nhaA		
BPLIIOBE_00017	CDS	addA	3.1.-.-	ATP-dependent helicase/nuclease subunit A
BPLIIOBE_00017	gene	addA		
BPLIIOBE_00018	CDS	rpsB		30S ribosomal protein S2
BPLIIOBE_00018	gene	rpsB		
BPLIIOBE_00019	CDS	tsf		Elongation factor Ts
BPLIIOBE_00019	gene	tsf		
BPLIIOBE_00020	CDS	ftsI	3.4.16.4	Peptidoglycan D,D-transpeptidase FtsI
BPLIIOBE_00020	gene	ftsI		
BPLIIOBE_00021	CDS	fliE		Flagellar hook-basal body complex protein FliE
BPLIIOBE_00021	gene	fliE		
BPLIIOBE_00022	CDS	flgC		Flagellar basal-body rod protein FlgC
BPLIIOBE_00022	gene	flgC		
BPLIIOBE_00023	CDS	flgB		Flagellar basal body rod protein FlgB
BPLIIOBE_00023	gene	flgB		
BPLIIOBE_00024	CDS	ftsW	2.4.1.129	putative peptidoglycan glycosyltransferase FtsW
BPLIIOBE_00024	gene	ftsW		
BPLIIOBE_00025	CDS	btuF_1		Vitamin B12-binding protein
BPLIIOBE_00025	gene	btuF_1		
BPLIIOBE_00026	CDS	btuF_2		Vitamin B12-binding protein
BPLIIOBE_00026	gene	btuF_2		
BPLIIOBE_00027	CDS	tsaA	1.11.1.15	putative peroxiredoxin
BPLIIOBE_00027	gene	tsaA		
BPLIIOBE_00028	CDS	metQ		D-methionine-binding lipoprotein MetQ
BPLIIOBE_00028	gene	metQ		
BPLIIOBE_00029	CDS	mrdA	3.4.16.4	Peptidoglycan D,D-transpeptidase MrdA
BPLIIOBE_00029	gene	mrdA		
BPLIIOBE_00030	CDS			hypothetical protein
BPLIIOBE_00030	gene			
BPLIIOBE_00031	CDS	engB		putative GTP-binding protein EngB
BPLIIOBE_00031	gene	engB		
BPLIIOBE_00032	CDS	lptA		Lipopolysaccharide export system protein LptA
BPLIIOBE_00032	gene	lptA		
BPLIIOBE_00033	CDS			hypothetical protein
BPLIIOBE_00033	gene			
BPLIIOBE_00034	CDS	kdsC	3.1.3.45	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
BPLIIOBE_00034	gene	kdsC		
BPLIIOBE_00035	CDS	rlpA	4.2.2.-	Endolytic peptidoglycan transglycosylase RlpA
BPLIIOBE_00035	gene	rlpA		
BPLIIOBE_00036	CDS	mltD	4.2.2.-	Membrane-bound lytic murein transglycosylase D
BPLIIOBE_00036	gene	mltD		
BPLIIOBE_00037	CDS	ycfH	3.1.-.-	putative metal-dependent hydrolase YcfH
BPLIIOBE_00037	gene	ycfH		
BPLIIOBE_00038	CDS	ribE	2.5.1.9	Riboflavin synthase
BPLIIOBE_00038	gene	ribE		
BPLIIOBE_00039	CDS	flhB_1		Flagellar biosynthetic protein FlhB
BPLIIOBE_00039	gene	flhB_1		
BPLIIOBE_00040	CDS	metN	3.6.3.-	Methionine import ATP-binding protein MetN
BPLIIOBE_00040	gene	metN		
BPLIIOBE_00041	CDS	metI		D-methionine transport system permease protein MetI
BPLIIOBE_00041	gene	metI		
BPLIIOBE_00042	CDS			hypothetical protein
BPLIIOBE_00042	gene			
BPLIIOBE_00043	CDS			hypothetical protein
BPLIIOBE_00043	gene			
BPLIIOBE_00044	CDS	lpxE_1	3.1.-.-	Lipid A 1-phosphatase
BPLIIOBE_00044	gene	lpxE_1		
BPLIIOBE_00045	CDS	tagO	2.7.8.33	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
BPLIIOBE_00045	gene	tagO		
BPLIIOBE_00046	CDS	pdxJ	2.6.99.2	Pyridoxine 5'-phosphate synthase
BPLIIOBE_00046	gene	pdxJ		
BPLIIOBE_00047	CDS	pdxA	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
BPLIIOBE_00047	gene	pdxA		
BPLIIOBE_00048	CDS	tsaD	2.3.1.234	tRNA N6-adenosine threonylcarbamoyltransferase
BPLIIOBE_00048	gene	tsaD		
BPLIIOBE_00049	CDS	flgG_1		Flagellar basal-body rod protein FlgG
BPLIIOBE_00049	gene	flgG_1		
BPLIIOBE_00050	CDS			hypothetical protein
BPLIIOBE_00050	gene			
