locus_tag	ftype	gene	EC_number	product
HCNCMENI_00001	CDS			hypothetical protein
HCNCMENI_00001	gene			
HCNCMENI_00002	CDS	dusC	1.3.1.-	tRNA-dihydrouridine(16) synthase
HCNCMENI_00002	gene	dusC		
HCNCMENI_00003	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthase
HCNCMENI_00003	gene	tilS		
HCNCMENI_00004	CDS			hypothetical protein
HCNCMENI_00004	gene			
HCNCMENI_00005	CDS			hypothetical protein
HCNCMENI_00005	gene			
HCNCMENI_00006	CDS			hypothetical protein
HCNCMENI_00006	gene			
HCNCMENI_00007	CDS			hypothetical protein
HCNCMENI_00007	gene			
HCNCMENI_00008	CDS	rimO	2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO
HCNCMENI_00008	gene	rimO		
HCNCMENI_00009	CDS	gpt	2.4.2.22	Xanthine phosphoribosyltransferase
HCNCMENI_00009	gene	gpt		
HCNCMENI_00010	CDS		2.6.1.51	Serine-pyruvate aminotransferase
HCNCMENI_00010	gene			
HCNCMENI_00011	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
HCNCMENI_00011	gene	pgpA		
HCNCMENI_00012	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
HCNCMENI_00012	gene	ddl		
HCNCMENI_00013	CDS	menH	4.2.99.20	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HCNCMENI_00013	gene	menH		
HCNCMENI_00014	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
HCNCMENI_00014	gene	murF		
HCNCMENI_00015	CDS		2.7.7.53	AP-4-A phosphorylase
HCNCMENI_00015	gene			
HCNCMENI_00016	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
HCNCMENI_00016	gene	prs		
HCNCMENI_00017	tRNA			tRNA-Met(cat)
HCNCMENI_00017	gene			
HCNCMENI_00018	CDS			hypothetical protein
HCNCMENI_00018	gene			
HCNCMENI_00019	CDS	rsgA	3.6.1.-	Putative ribosome biogenesis GTPase RsgA
HCNCMENI_00019	gene	rsgA		
HCNCMENI_00020	CDS	rluD	5.4.99.23	Ribosomal large subunit pseudouridine synthase D
HCNCMENI_00020	gene	rluD		
HCNCMENI_00021	CDS			hypothetical protein
HCNCMENI_00021	gene			
HCNCMENI_00022	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
HCNCMENI_00022	gene	trmB		
HCNCMENI_00023	CDS	ftsE		Cell division ATP-binding protein FtsE
HCNCMENI_00023	gene	ftsE		
HCNCMENI_00024	CDS			hypothetical protein
HCNCMENI_00024	gene			
HCNCMENI_00025	CDS			hypothetical protein
HCNCMENI_00025	gene			
HCNCMENI_00026	CDS			hypothetical protein
HCNCMENI_00026	gene			
HCNCMENI_00027	CDS			hypothetical protein
HCNCMENI_00027	gene			
HCNCMENI_00028	CDS	fliD		Flagellar hook-associated protein 2
HCNCMENI_00028	gene	fliD		
HCNCMENI_00029	CDS	fliS		Flagellar protein FliS
HCNCMENI_00029	gene	fliS		
HCNCMENI_00030	CDS			hypothetical protein
HCNCMENI_00030	gene			
HCNCMENI_00031	CDS	tcdA	6.1.-.-	tRNA threonylcarbamoyladenosine dehydratase
HCNCMENI_00031	gene	tcdA		
HCNCMENI_00032	CDS			hypothetical protein
HCNCMENI_00032	gene			
HCNCMENI_00033	CDS		3.5.1.77	N-carbamoyl-D-amino acid hydrolase
HCNCMENI_00033	gene			
HCNCMENI_00034	CDS			hypothetical protein
HCNCMENI_00034	gene			
HCNCMENI_00035	CDS	yeeO		putative FMN/FAD exporter YeeO
HCNCMENI_00035	gene	yeeO		
HCNCMENI_00036	CDS	rny	3.1.-.-	Ribonuclease Y
HCNCMENI_00036	gene	rny		
HCNCMENI_00037	CDS			hypothetical protein
HCNCMENI_00037	gene			
HCNCMENI_00038	CDS			hypothetical protein
HCNCMENI_00038	gene			
HCNCMENI_00039	CDS	ftsY		Signal recognition particle receptor FtsY
HCNCMENI_00039	gene	ftsY		
HCNCMENI_00040	CDS			hypothetical protein
HCNCMENI_00040	gene			
HCNCMENI_00041	CDS			hypothetical protein
HCNCMENI_00041	gene			
HCNCMENI_00042	CDS			hypothetical protein
HCNCMENI_00042	gene			
HCNCMENI_00043	CDS	moaA	4.1.99.22	GTP 3',8-cyclase
HCNCMENI_00043	gene	moaA		
HCNCMENI_00044	CDS	mobA	2.7.7.77	putative molybdenum cofactor guanylyltransferase
HCNCMENI_00044	gene	mobA		
HCNCMENI_00045	CDS	flhB_1		Flagellar biosynthetic protein FlhB
HCNCMENI_00045	gene	flhB_1		
HCNCMENI_00046	CDS	flhB_2		Flagellar biosynthetic protein FlhB
HCNCMENI_00046	gene	flhB_2		
HCNCMENI_00047	CDS			hypothetical protein
HCNCMENI_00047	gene			
HCNCMENI_00048	CDS	amiC	3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiC
HCNCMENI_00048	gene	amiC		
HCNCMENI_00049	CDS	pyrD_1	1.3.-.-	Dihydroorotate dehydrogenase
HCNCMENI_00049	gene	pyrD_1		
HCNCMENI_00050	CDS	tyrS	6.1.1.1	Tyrosine--tRNA ligase
HCNCMENI_00050	gene	tyrS		
HCNCMENI_00051	CDS	relA	2.7.6.5	GTP pyrophosphokinase
HCNCMENI_00051	gene	relA		
HCNCMENI_00052	CDS	rpoZ	2.7.7.6	DNA-directed RNA polymerase subunit omega
HCNCMENI_00052	gene	rpoZ		
HCNCMENI_00053	CDS	pyrH	2.7.4.22	Uridylate kinase
HCNCMENI_00053	gene	pyrH		
HCNCMENI_00054	CDS	mqnA	4.2.1.151	Chorismate dehydratase
HCNCMENI_00054	gene	mqnA		
HCNCMENI_00055	CDS	acnB	4.2.1.3	Aconitate hydratase B
HCNCMENI_00055	gene	acnB		
HCNCMENI_00056	CDS			hypothetical protein
HCNCMENI_00056	gene			
HCNCMENI_00057	CDS			hypothetical protein
HCNCMENI_00057	gene			
HCNCMENI_00058	CDS			hypothetical protein
HCNCMENI_00058	gene			
HCNCMENI_00059	CDS			hypothetical protein
HCNCMENI_00059	gene			
HCNCMENI_00060	tmRNA	ssrA		transfer-messenger RNA, SsrA
HCNCMENI_00060	gene	ssrA		
HCNCMENI_00061	CDS	lolA		Outer-membrane lipoprotein carrier protein
HCNCMENI_00061	gene	lolA		
HCNCMENI_00062	CDS	secA		Protein translocase subunit SecA
HCNCMENI_00062	gene	secA		
HCNCMENI_00063	CDS	lolC		Lipoprotein-releasing system transmembrane protein LolC
HCNCMENI_00063	gene	lolC		
HCNCMENI_00064	CDS			hypothetical protein
HCNCMENI_00064	gene			
HCNCMENI_00065	CDS			hypothetical protein
HCNCMENI_00065	gene			
HCNCMENI_00066	CDS			hypothetical protein
HCNCMENI_00066	gene			
HCNCMENI_00067	CDS	cadA	3.6.3.3	Cadmium, zinc and cobalt-transporting ATPase
HCNCMENI_00067	gene	cadA		
HCNCMENI_00068	CDS	comM		Competence protein ComM
