locus_tag	ftype	gene	EC_number	product
LAKMDKJD_00001	CDS			hypothetical protein
LAKMDKJD_00001	gene			
LAKMDKJD_00002	CDS	dusC	1.3.1.-	tRNA-dihydrouridine(16) synthase
LAKMDKJD_00002	gene	dusC		
LAKMDKJD_00003	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthase
LAKMDKJD_00003	gene	tilS		
LAKMDKJD_00004	CDS			hypothetical protein
LAKMDKJD_00004	gene			
LAKMDKJD_00005	CDS			hypothetical protein
LAKMDKJD_00005	gene			
LAKMDKJD_00006	CDS			hypothetical protein
LAKMDKJD_00006	gene			
LAKMDKJD_00007	CDS			hypothetical protein
LAKMDKJD_00007	gene			
LAKMDKJD_00008	CDS	rimO	2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO
LAKMDKJD_00008	gene	rimO		
LAKMDKJD_00009	CDS	gpt	2.4.2.22	Xanthine phosphoribosyltransferase
LAKMDKJD_00009	gene	gpt		
LAKMDKJD_00010	CDS		2.6.1.51	Serine-pyruvate aminotransferase
LAKMDKJD_00010	gene			
LAKMDKJD_00011	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
LAKMDKJD_00011	gene	pgpA		
LAKMDKJD_00012	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
LAKMDKJD_00012	gene	ddl		
LAKMDKJD_00013	CDS	menH	4.2.99.20	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
LAKMDKJD_00013	gene	menH		
LAKMDKJD_00014	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LAKMDKJD_00014	gene	murF		
LAKMDKJD_00015	CDS		2.7.7.53	AP-4-A phosphorylase
LAKMDKJD_00015	gene			
LAKMDKJD_00016	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
LAKMDKJD_00016	gene	prs		
LAKMDKJD_00017	tRNA			tRNA-Met(cat)
LAKMDKJD_00017	gene			
LAKMDKJD_00018	CDS			hypothetical protein
LAKMDKJD_00018	gene			
LAKMDKJD_00019	CDS	rsgA	3.6.1.-	Putative ribosome biogenesis GTPase RsgA
LAKMDKJD_00019	gene	rsgA		
LAKMDKJD_00020	CDS	rluD	5.4.99.23	Ribosomal large subunit pseudouridine synthase D
LAKMDKJD_00020	gene	rluD		
LAKMDKJD_00021	CDS			hypothetical protein
LAKMDKJD_00021	gene			
LAKMDKJD_00022	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
LAKMDKJD_00022	gene	trmB		
LAKMDKJD_00023	CDS	ftsE		Cell division ATP-binding protein FtsE
LAKMDKJD_00023	gene	ftsE		
LAKMDKJD_00024	CDS			hypothetical protein
LAKMDKJD_00024	gene			
LAKMDKJD_00025	CDS			hypothetical protein
LAKMDKJD_00025	gene			
LAKMDKJD_00026	CDS			hypothetical protein
LAKMDKJD_00026	gene			
LAKMDKJD_00027	CDS	fliD		Flagellar hook-associated protein 2
LAKMDKJD_00027	gene	fliD		
LAKMDKJD_00028	CDS	fliS		Flagellar protein FliS
LAKMDKJD_00028	gene	fliS		
LAKMDKJD_00029	CDS			hypothetical protein
LAKMDKJD_00029	gene			
LAKMDKJD_00030	CDS	tcdA	6.1.-.-	tRNA threonylcarbamoyladenosine dehydratase
LAKMDKJD_00030	gene	tcdA		
LAKMDKJD_00031	CDS			hypothetical protein
LAKMDKJD_00031	gene			
LAKMDKJD_00032	CDS		3.5.1.77	N-carbamoyl-D-amino acid hydrolase
LAKMDKJD_00032	gene			
LAKMDKJD_00033	CDS			hypothetical protein
LAKMDKJD_00033	gene			
LAKMDKJD_00034	CDS	yeeO		putative FMN/FAD exporter YeeO
LAKMDKJD_00034	gene	yeeO		
LAKMDKJD_00035	CDS	rny	3.1.-.-	Ribonuclease Y
LAKMDKJD_00035	gene	rny		
LAKMDKJD_00036	CDS			hypothetical protein
LAKMDKJD_00036	gene			
LAKMDKJD_00037	CDS			hypothetical protein
LAKMDKJD_00037	gene			
LAKMDKJD_00038	CDS	ftsY		Signal recognition particle receptor FtsY
LAKMDKJD_00038	gene	ftsY		
LAKMDKJD_00039	CDS			hypothetical protein
LAKMDKJD_00039	gene			
LAKMDKJD_00040	CDS			hypothetical protein
LAKMDKJD_00040	gene			
LAKMDKJD_00041	CDS			hypothetical protein
LAKMDKJD_00041	gene			
LAKMDKJD_00042	CDS			hypothetical protein
LAKMDKJD_00042	gene			
LAKMDKJD_00043	CDS	moaA	4.1.99.22	GTP 3',8-cyclase
LAKMDKJD_00043	gene	moaA		
LAKMDKJD_00044	CDS	mobA	2.7.7.77	putative molybdenum cofactor guanylyltransferase
LAKMDKJD_00044	gene	mobA		
LAKMDKJD_00045	CDS	flhB_1		Flagellar biosynthetic protein FlhB
LAKMDKJD_00045	gene	flhB_1		
LAKMDKJD_00046	CDS			hypothetical protein
LAKMDKJD_00046	gene			
LAKMDKJD_00047	CDS	amiC	3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiC
LAKMDKJD_00047	gene	amiC		
LAKMDKJD_00048	CDS	pyrD_1	1.3.-.-	Dihydroorotate dehydrogenase
LAKMDKJD_00048	gene	pyrD_1		
LAKMDKJD_00049	CDS	tyrS	6.1.1.1	Tyrosine--tRNA ligase
LAKMDKJD_00049	gene	tyrS		
LAKMDKJD_00050	CDS	relA	2.7.6.5	GTP pyrophosphokinase
LAKMDKJD_00050	gene	relA		
LAKMDKJD_00051	CDS	rpoZ	2.7.7.6	DNA-directed RNA polymerase subunit omega
LAKMDKJD_00051	gene	rpoZ		
LAKMDKJD_00052	CDS	pyrH_1	2.7.4.22	Uridylate kinase
LAKMDKJD_00052	gene	pyrH_1		
LAKMDKJD_00053	CDS	pyrH_2	2.7.4.22	Uridylate kinase
LAKMDKJD_00053	gene	pyrH_2		
LAKMDKJD_00054	CDS	mqnA	4.2.1.151	Chorismate dehydratase
LAKMDKJD_00054	gene	mqnA		
LAKMDKJD_00055	CDS	acnB	4.2.1.3	Aconitate hydratase B
LAKMDKJD_00055	gene	acnB		
LAKMDKJD_00056	CDS			hypothetical protein
LAKMDKJD_00056	gene			
LAKMDKJD_00057	CDS			hypothetical protein
LAKMDKJD_00057	gene			
LAKMDKJD_00058	CDS			hypothetical protein
LAKMDKJD_00058	gene			
LAKMDKJD_00059	CDS			hypothetical protein
LAKMDKJD_00059	gene			
LAKMDKJD_00060	tmRNA	ssrA		transfer-messenger RNA, SsrA
